summary_date,site,monitor,pm25_davg,name,obs_count,units,basin,county_name,state,latitude,longitude 
2017-06-09,2143,-,5.1,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-06-10,2143,-,2.7,Davis-UCD Campus,23,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-06-11,2143,-,4.3,Davis-UCD Campus,20,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-06-12,2143,-,5.6,Davis-UCD Campus,21,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-06-13,2143,-,6.7,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-06-14,2143,-,5.6,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-06-15,2143,-,6.1,Davis-UCD Campus,21,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-06-16,2143,-,2.6,Davis-UCD Campus,22,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-06-17,2143,-,1.1,Davis-UCD Campus,22,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-06-18,2143,-,5.0,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
