Date	Time	JD	PH_GEO.AH06B.CCO %
4/18/15	4:08:40	2457130.67	75.084297
4/18/15	4:23:40	2457130.68	100
4/18/15	4:38:40	2457130.69	0
4/18/15	4:53:40	2457130.70	41.591797
4/18/15	5:08:40	2457130.71	99.970795
4/18/15	5:23:40	2457130.72	0
4/18/15	5:38:40	2457130.74	0
4/18/15	5:53:40	2457130.75	99.960831
4/18/15	6:08:40	2457130.76	4.396777
4/18/15	6:23:40	2457130.77	0
4/18/15	6:38:40	2457130.78	81.921822
4/18/15	6:53:40	2457130.79	100
4/18/15	7:08:40	2457130.80	0
4/18/15	7:23:40	2457130.81	27.173943
4/18/15	7:38:40	2457130.82	99.982735
4/18/15	7:53:40	2457130.83	0
4/18/15	8:08:40	2457130.84	0
4/18/15	8:23:40	2457130.85	100
4/18/15	8:38:40	2457130.86	0
4/18/15	8:53:40	2457130.87	0
4/18/15	9:08:40	2457130.88	13.246678
4/18/15	9:23:40	2457130.89	27.476568
4/18/15	9:38:40	2457130.90	38.069046
4/18/15	9:53:40	2457130.91	41.476593
4/18/15	10:08:40	2457130.92	43.593555
4/18/15	10:23:40	2457130.93	39.688244
4/18/15	10:38:40	2457130.94	28.701151
4/18/15	10:53:40	2457130.95	17.025757
4/18/15	11:08:40	2457130.96	5.008174
4/18/15	11:23:40	2457130.97	0
4/18/15	11:38:40	2457130.99	0
4/18/15	11:53:40	2457131.00	0
4/18/15	12:08:40	2457131.01	41.004532
4/18/15	12:23:40	2457131.02	20.343918
4/18/15	12:38:40	2457131.03	0
4/18/15	12:53:40	2457131.04	23.939939
4/18/15	13:08:40	2457131.05	11.324048
4/18/15	13:23:40	2457131.06	4.365523
4/18/15	13:38:40	2457131.07	28.913441
4/18/15	13:53:40	2457131.08	0
4/18/15	14:08:40	2457131.09	36.243507
4/18/15	14:23:40	2457131.10	0.783496
4/18/15	14:38:40	2457131.11	37.097221
4/18/15	14:53:40	2457131.12	9.607858
4/18/15	15:08:40	2457131.13	29.20624
4/18/15	15:23:40	2457131.14	6.339544
4/18/15	15:38:40	2457131.15	25.162983
4/18/15	15:53:40	2457131.16	11.161016
4/18/15	16:08:40	2457131.17	10.270217
4/18/15	16:23:40	2457131.18	28.305836
4/18/15	16:38:40	2457131.19	7.354186
4/18/15	16:53:40	2457131.20	33.916611
4/18/15	17:08:40	2457131.21	8.789622
4/18/15	17:23:40	2457131.22	7.250299
4/18/15	17:38:40	2457131.24	35.249264
4/18/15	17:53:40	2457131.25	6.625824
4/18/15	18:08:40	2457131.26	22.205828
4/18/15	18:23:40	2457131.27	23.602533
4/18/15	18:38:40	2457131.28	0
4/18/15	18:53:40	2457131.29	25.819483
4/18/15	19:08:40	2457131.30	26.277365
4/18/15	19:23:40	2457131.31	0
4/18/15	19:38:40	2457131.32	0
4/18/15	19:53:40	2457131.33	35.147587
4/18/15	20:08:40	2457131.34	20.144518
4/18/15	20:23:40	2457131.35	0
4/18/15	20:38:40	2457131.36	0
4/18/15	20:53:40	2457131.37	0
4/18/15	21:08:40	2457131.38	0
4/18/15	21:23:40	2457131.39	0
4/18/15	21:38:40	2457131.40	0
4/18/15	21:53:40	2457131.41	0
4/18/15	22:08:40	2457131.42	0
4/18/15	22:23:40	2457131.43	0
4/18/15	22:38:40	2457131.44	0
4/18/15	22:53:40	2457131.45	0
4/18/15	23:08:40	2457131.46	0
4/18/15	23:23:40	2457131.47	0
4/18/15	23:38:40	2457131.49	0
4/18/15	23:53:40	2457131.50	0
4/19/15	0:08:40	2457131.51	0
4/19/15	0:23:40	2457131.52	15.42062
4/19/15	0:38:40	2457131.53	53.744595
4/19/15	0:53:40	2457131.54	52.887684
4/19/15	1:08:40	2457131.55	24.806192
4/19/15	1:23:40	2457131.56	0
4/19/15	1:38:40	2457131.57	0
4/19/15	1:53:40	2457131.58	0
4/19/15	2:08:37	2457131.59	0
4/19/15	2:23:37	2457131.60	0
4/19/15	2:38:37	2457131.61	0
4/19/15	2:53:37	2457131.62	60.033703
4/19/15	3:08:37	2457131.63	55.2645
4/19/15	3:23:37	2457131.64	0
4/19/15	3:38:37	2457131.65	85.993675
4/19/15	3:53:37	2457131.66	0
4/19/15	4:08:37	2457131.67	0
4/19/15	4:23:37	2457131.68	99.67569
4/19/15	4:38:37	2457131.69	0
